[6.211657980107702],[6.211429060436785]
X,Y
[6.396294465055689],[6.395758762955666]
X,Y
[6.586563465709332],[6.585504945367575]
X,Y
[6.77829767530784],[6.778918622992933]
X,Y
[6.95730160624953],[6.957831864245236]
X,Y
[7.137679406499956],[7.136711203493178]
X,Y
[0],[0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.17758471798151731],[0.17709628492593765]
X,Y
[0.353749877482187],[0.3523757802322507]
X,Y
[0.5539103904739022],[0.5529886558651924]
X,Y
[0.7315407548449002],[0.7319356501102448]
X,Y
[0.9090797665994614],[0.9071812545880675]
X,Y
[1.1092402483336627],[1.1077941451221704]
X,Y
[1.3023943057050928],[1.303024472668767]
X,Y
[1.4884049247484654],[1.4873201474547386]
X,Y
[1.670248224050738],[1.6698668450117111]
X,Y
[1.8689891117974184],[1.8686629636213183]
X,Y
[2.0592583521502092],[2.058409028686583]
X,Y
[2.236888641025871],[2.237356059253216]
X,Y
[2.4144275781000033],[2.412601700052619]
X,Y
[2.607535890827421],[2.6059813667088747]
X,Y
[2.786585702910088],[2.7867452017962933]
X,Y
[2.9641702840453945],[2.963841551914811]
X,Y
[3.1868607721989974],[3.186120394617319]
X,Y
[3.365864883759059],[3.3650335473939776]
X,Y
[3.549127637234051],[3.549397082068026]
X,Y
[3.754874828737229],[3.7535758204758167]
X,Y
[3.931085482588969],[3.9307060996070504]
X,Y
[4.11714163585566],[4.1168525367975235]
X,Y
[4.296145700616762],[4.295765712857246]
X,Y
[4.482201834733132],[4.481912158429623]
X,Y
[4.666838409379125],[4.666241818107665]
X,Y
[4.845842444396112],[4.8451550072059035]
X,Y
[5.026266022119671],[5.02588499430567]
X,Y
[5.25316935905721],[5.2517635794356465]
X,Y
[5.429379938635975],[5.428893892094493]
X,Y
[5.630959713016637],[5.631323699839413]
X,Y
[5.821228756569326],[5.821069861762226]
X,Y
[6.00023273343686],[5.999983079731464]
X,Y
[6.184869229386095],[6.184312775731087]
X,Y
[6.3624536410789005],[6.361409207805991]
X,Y
[6.53866416553501],[6.538539549335837]
X,Y
[6.745830733561888],[6.744535164907575]
X,Y
[6.922041238867678],[6.921665515750647]
X,Y
[7.098251735558733],[7.098795868456364]
X,Y
[7.299785746959969],[7.299375023692846]
X,Y
[7.491474247770384],[7.490938023664057]
X,Y
[7.677530214830767],[7.677084552124143]
X,Y
[7.87347734044306],[7.8740979405120015]
X,Y
[8.051061665755697],[8.051194415427744]
X,Y
[8.234278507181443],[8.233707369305193]
X,Y
[8.414701910864096],[8.414437438361347]
X,Y
[8.610648995672818],[8.61145085003227]
X,Y
[8.800917877990287],[8.801197089254856]
X,Y
[8.979921707184985],[8.980110378935933]
X,Y
[9.15750597952865],[9.157206878066063]
X,Y
[9.364718065247871],[9.365053264424205]
X,Y
[9.545095743844286],[9.543932663276792]
X,Y
[9.722725657746196],[9.722879874520004]
X,Y
